id,Center_1,Center_2,ConvexArea,ExcessKurtosis,MaxVal,Mean,MinVal,P2A,PodczeckShapes_1,PodczeckShapes_2,PodczeckShapes_3,PodczeckShapes_4,PodczeckShapes_5,Radius_1,Radius_2,Radius_3,Radius_4,Size,Skewness,StdDev,CenterZ,CenterZUnit,CenterUnit_1,CenterUnit_2,RadiusUnit_1,RadiusUnit_2,RadiusUnit_3,RadiusUnit_4,ConvexAreaUnit,SizeUnit,CenterEllipse_1,CenterEllipse_2,ExcessKurtosisEllipse,MaxValEllipse,MeanEllipse,MinValEllipse,SizeEllipse,SkewnessEllipse,StdDevEllipse,spotCount2D,spotCount3D,CenterRimHeight_3,PrincipalAxes1_1,PrincipalAxes1_2,PrincipalAxes1_3,PrincipalAxes2_1,PrincipalAxes2_2,PrincipalAxes2_3,PrincipalAxes3_1,PrincipalAxes3_2,PrincipalAxes3_3,AxesRadius_1,AxesRadius_2,AxesRadius_3,ellipsoidVolume,ellipsoidVolumeUnit,spheroidIndexStart,spheroidIndexStop,spheroidRange,depthPercentage,attenuationIndex,attenuationRange,depthType,spotCount,profileAttenuationRatio,imageId
11,894.878504672897,397.845794392523,445.5,-0.401587652113157,9843,6248.83411214953,2376,1.11695290819506,0.791041530767557,0.869214761446146,1.58208306153511,1.00718535850109,2.90471984158242,14.3231913635066,11.2736032024331,9.37449110954305,0.989451751056264,428,0.0648649564147543,1512.01937897414,24.2429906542056,242.429906542056,1163.34205607477,517.19953271028,18.6201487725585,14.655684163163,12.186838442406,1.28628727637314,752.895,723.32,895,398,-0.512038682238489,9843,6192.52873563218,2509,435,0.0773364491921449,1544.82856817445,0,0,24,-0.916112824335767,0.400920557077764,0,0.400920557077764,0.916112824335767,0,0,0,1,12.5314302621905,11.0751776932951,1.53442951710656,892.045276703258,15075.5651762851,23,27,5,1,27,5,full,0,0.5,1
12,1034.42941176471,428.809803921569,620.5,0.956231915820559,7371,2420.93333333333,203,1.95155163714714,0.758522882234222,0.57605513747434,1.51704576446844,0.965781329247104,3.10176125949555,18.2330217983807,12.7460012262015,5.71341263171379,3.31679689139458,510,0.799647455997022,1321.26597157763,22.6235294117647,226.235294117647,1344.75823529412,557.452745098039,23.7029283378949,16.5698015940619,7.42743642122793,4.31183595881295,1048.645,861.9,1034,429,1.08703213920117,7371,2314.64653641208,146,563,0.881801712587569,1309.37903069186,0,0,23,0.174516683941157,-0.984654216984918,0,-0.984654216984918,-0.174516683941157,0,0,0,1,17.3417650976123,10.2805987750403,1.79545365172242,1340.83246632609,22660.0686809109,22,26,5,1,26,5,full,0,0.5,1
13,204.221280837279,454.727884375779,4100,0.43314423157992,7402,3866.69623722901,1648,1.12635921810623,0.789872380719328,0.940659578868442,1.57974476143866,1.00569675042596,3.13158132212407,37.9409757940725,35.3145288032009,32.4058229723649,1.5677251665172,4013,0.514427007979151,795.435520439441,40.9202591577374,409.202591577374,265.487665088463,591.146249688512,49.3232685322943,45.9088874441612,42.1275698640744,2.03804271647236,6929,6781.97,204,455,0.396977857821279,7402,3853.65506093012,1486,4021,0.464672336162022,808.289213634568,0,0,42,0.399295250783811,-0.916822394306276,0,-0.916822394306276,-0.399295250783811,0,0,0,1,36.9310428361047,34.6717870103264,4.65418394001802,24963.1823869058,421877.782338709,38,48,11,0.636363636363636,44,7,half,0,0.5,1
14,916.378780112763,453.678370066633,4128,0.420337200811925,16603,9043.95489492568,553,1.52296060091737,0.776795668100016,0.895324563876003,1.55359133620003,0.989046962803911,3.48944547308646,41.221738103186,34.4004232237266,24.8811254151632,3.7112582115423,3902,0.0512688999703413,2297.17518851344,23.6135315222963,236.135315222963,1191.29241414659,589.781881086622,53.5882595341418,44.7205501908445,32.3454630397121,4.82463567500499,6976.32,6594.38,915.903340080972,453.943319838057,0.181333175193955,16603,8960.57995951417,1940,3952,0.0999539133945571,2328.88779921979,1,1,25,-0.894432028990242,0.447203919388458,0,0.447203919388458,0.894432028990242,0,0,0,1,37.2069958379929,33.8114561690849,4.61619938046005,24325.4928682966,411100.829474212,21,31,11,0.636363636363636,27,7,half,1,0.5,1
15,971.312919688423,488.041901692184,4429,3.94715865261323,8643,2947.83346763363,1045,1.67529351814885,0.697896406750359,0.758346899423951,1.39579281350072,0.888589303203133,3.37424391511421,44.7107409243451,35.0694902842134,18.2783267561313,6.067789365067,3723,1.30237834586036,857.732815754048,32.6352403975289,326.352403975289,1262.70679559495,634.454472199839,58.1239632016486,45.5903373694774,23.7618247829707,7.8881261745871,7485.01,6291.87,971,488,8.4930475448277,12214,2896.51988145221,231,4049,1.79134363176837,1211.78236970345,1,2,34,0.614632536147892,-0.788813568283666,0,-0.788813568283666,-0.614632536147892,0,0,0,1,41.2846273236026,31.1092548504339,4.70560234131237,25315.2260566965,427827.320358171,30,40,11,0.636363636363636,36,7,half,2,0.5,1
16,741.299168975069,497.017728531856,2739,-0.257949275885227,2934,1521.41440443213,713,3.108577405041,0.510178238161724,0.459711251772072,1.02035647632345,0.649579107690821,3.59985505941961,40.2129398496001,24.4062661331777,6.04618373845581,9.107967601957,1805,0.672547767052499,417.84144794872,46.0947368421053,460.947368421053,963.68891966759,646.123047091413,52.2768218044801,31.728145973131,7.86003885999256,11.8403578825441,4628.91,3050.45,741,497,56.4812619079507,18588,1564.0855345912,284,2385,7.02786112725272,1584.84296330958,0,0,46,-0.0132185407305179,-0.999912631273831,0,-0.999912631273831,0.0132185407305179,0,0,0,1,38.3808793168934,19.7844989747791,3.78074958895871,12025.5929602967,203232.521029015,43,51,9,1,51,9,full,0,0.5,1
17,467.463157894737,502.710526315789,207,-0.583832466586201,5756,3998.65789473684,1707,1.30785182265849,0.723809523809523,0.774129643198976,1.44761904761905,0.921582908570212,2.94516582975694,9.44329292408109,7.36026226524451,4.20425751471053,1.38561293424913,190,-0.466880762206094,926.682353307784,33.4421052631579,334.421052631579,607.702105263158,653.523684210526,12.2762808013054,9.56834094481787,5.4655347691237,1.80129681452387,349.83,321.1,467,503,-0.250209125798102,5756,4031.27093596059,1325,203,-0.532597975574494,888.69774037918,0,0,34,-0.583357334768798,-0.812215624062629,0,-0.812215624062629,0.583357334768798,0,0,0,1,9.16949406066348,7.14148597174506,1.06021370210655,290.814450683241,4914.76421654677,34,36,3,1,36,3,full,0,0.5,1
18,440.09705372617,547.909878682842,1336.5,0.548297061230264,10704,5633.80155979203,180,1.67226196457841,0.649737059007905,0.700703969786601,1.29947411801581,0.827270917208789,3.34372241360021,23.7547611374548,18.8725851049167,13.8963348096531,2.29823143536459,1154,-0.75262001491746,1875.58754796809,31.5415944540728,315.415944540728,572.126169844021,712.282842287695,30.8811894786912,24.5343606363917,18.065235252549,2.98770086597396,2258.685,1950.26,440,548,-0.0312592050565641,10704,5446.76450798991,204,1189,-0.693752231961353,2047.59640935609,0,0,32,-0.999579951386193,-0.0289813869022309,0,-0.0289813869022309,0.999579951386193,0,0,0,1,20.8650736827817,18.1441280948377,2.53559811554526,4020.91651082085,67953.4890328724,30,36,7,0.857142857142857,35,6,half,0,0.5,1
19,205.649206349206,567.819047619048,1442.5,1.14946729964855,13659,6823.43253968254,1215,1.38790498402103,0.717103326464525,0.828289144628221,1.43420665292905,0.913044312915763,2.98520070908287,26.4335250824653,19.8324396628901,14.0245072583987,2.61070840001494,1260,0.560868498353481,1965.28967022671,21.4039682539683,214.039682539683,267.343968253968,738.164761904762,34.3635826072049,25.7821715617571,18.2318594359183,3.39392092001942,2437.825,2129.4,206,568,1.10143380596531,13659,6656.07396226415,334,1325,0.230641751625286,2113.33369625954,1,2,22,0.124992332412105,-0.992157707644396,0,-0.992157707644396,-0.124992332412105,0,0,0,1,21.7051368554094,19.4233624507382,2.67335245489959,4720.97577757814,79784.4906410706,20,26,7,0.857142857142857,25,6,half,2,0.5,1
20,848.129032258065,560.496774193548,354,-1.03229206218028,9277,4641.02580645161,617,1.36701034448355,0.672339005672339,0.782069100027847,1.34467801134468,0.856048609489941,3.16981374756612,11.6445086708496,9.52887439725163,6.01669700014484,1.3242940375921,310,0.352292668282959,1956.09201724111,21.041935483871,210.41935483871,1102.56774193548,728.645806451613,15.1378612721045,12.3875367164271,7.82170610018829,1.72158224886974,598.26,523.9,848,560,-1.00343931425124,9277,4492.35649546828,801,331,0.377807917883707,1999.68679663768,0,0,21,-0.781465315491646,-0.623948684335132,0,-0.623948684335132,0.781465315491646,0,0,0,1,10.6706083038984,9.80719923966256,1.33105749033146,583.471435471326,9860.6672594654,21,23,3,1,23,3,full,0,0.5,1
21,268.283337294985,644.22159496078,17553.5,-0.258220567037267,6858,3229.18166151652,688,1.63093112205116,0.794703237749821,0.894870988790277,1.58940647549964,1.01184758863214,3.58706452664173,91.4899701386234,72.1976161118057,56.4610582619083,8.78658911344855,16828,0.0588665516211778,943.345988357699,25.4015925837889,254.015925837889,348.76833848348,837.488073449014,118.93696118021,93.8569009453475,73.3993757404808,11.4225658474831,29665.415,28439.32,268,644,-0.305195654214994,6858,3204.46650226058,352,17031,0.0734947390822089,946.623673262478,9,15,28,0.600871687948024,-0.799345491400616,0,-0.799345491400616,-0.600871687948024,0,0,0,1,78.6973020456597,68.8621853376811,9.59136667991715,217725.72657422,3679564.77910431,19,39,21,0.476190476190476,28,10,less,15,0.5,1
22,371.589519650655,605.445414847162,490.5,-0.638883469668765,5773,3278.47598253275,881,1.4201822346422,0.736055965210813,0.655260962079973,1.47211193042163,0.937175562044616,2.99866373349558,16.0395020184543,11.8025193422148,8.50091906795965,1.80292650331346,458,-0.168377712484648,1091.67139259029,42.2292576419214,422.292576419214,483.066375545852,787.07903930131,20.8513526239906,15.3432751448792,11.0511947883475,2.34380445430749,828.945,774.02,372,605,-0.649069090831551,5773,3306.16846652268,914,463,-0.133879840114856,1061.06463408446,0,0,42,-0.955038596723365,-0.296481498189459,0,-0.296481498189459,0.955038596723365,0,0,0,1,14.5967371504116,10.16202918645,1.60931981189601,999.924460990701,16898.7233907428,41,45,5,1,45,5,full,0,0.5,1
23,671.71986970684,631.442996742671,327,-0.50068874325191,21972,7472.65146579805,552,1.20372507167254,0.772752983766049,0.766795038039163,1.5455059675321,0.983899657243023,2.95171327426764,11.5838462291316,9.50455950354223,7.48879464161653,1.12168107423247,307,0.731669084758942,5834.84824410384,35.0325732899023,350.325732899023,873.235830618893,820.875895765472,15.0590000978711,12.3559273546049,9.73543303410148,1.45818539650221,552.63,518.83,672,631,-0.583276293645884,21972,7714.89710610932,552,311,0.672676778910794,5812.87250536017,0,0,35,-0.812550354223095,0.582891003406231,0,0.582891003406231,0.812550354223095,0,0,0,1,11.3047539206478,8.80568818989844,1.30717873718551,545.064629266848,9211.59223460973,35,37,3,1,37,3,full,0,0.5,1
24,551.977225672878,638.185300207039,1064,0.137907680791999,2092,1287.83126293996,452,1.45735674645376,0.704983980064078,0.56100842613898,1.40996796012816,0.89761348182237,2.82229335886055,24.8320447172808,17.5897692416853,9.95254786819315,3.58075170871738,966,-0.0535628201704919,270.67163728191,44.916149068323,449.16149068323,717.570393374741,829.640890269151,32.2816581324651,22.8667000141909,12.9383122286511,4.65497722133259,1798.16,1632.54,552,638,-0.0807914776393903,2092,1271.53982300885,578,1017,0.0384595954928918,273.888467006951,1,2,45,-0.993706088496013,-0.11201879166441,0,-0.11201879166441,0.993706088496013,0,0,0,1,22.5574255165166,14.3408791878101,2.39838980578123,3249.92761457094,54923.7766862488,44,48,5,1,48,5,full,1,0.5,1
25,967.180332739156,676.854723707665,7628,-0.360514174239465,5460,2632.0210932858,823,1.51939045778619,0.640661589688645,0.679074691332392,1.28132317937729,0.815715670784475,3.19077359598833,55.9800646374431,45.909328697569,23.6609367094571,8.19363089417391,6732,0.322344512151277,776.007267176765,6.40151515151515,64.0151515151515,1257.3344325609,879.911140819964,72.7740840286761,59.6821273068397,30.7592177222943,10.6517201624261,12891.32,11377.08,967.209184392168,676.969573179321,-0.295083771020241,5460,2504.94111846739,111,7099,-0.00983013951266773,891.240901348258,0,0,8,-0.848518050264988,-0.529166437309193,0,-0.529166437309193,0.848518050264988,0,0,0,1,53.2046395142775,42.6868562708896,6.23294722603586,59296.0461787064,1002103.18042014,3,15,13,0.461538461538462,8,6,less,0,0.5,1
26,542.437374245473,702.780558350101,8373.5,6.49571034342515,19023,4799.25679074447,244,1.46748714827033,0.765589668244015,0.774333697568849,1.53117933648803,0.974779040648954,3.34869974528489,58.1597131849691,49.9157979249826,41.508419456811,4.18118868282175,7952,1.83223540045986,1884.77393118663,3.36959255533199,33.6959255533199,705.168586519115,913.614725855131,75.6076271404599,64.8905373024774,53.9609452938543,5.43554528766827,14151.215,13438.88,542,703,6.32259241739079,19023,4792.97169223095,189,8019,1.80756805298765,1902.43704789385,4,7,5,-0.986538632791711,0.163528364541023,0,0.163528364541023,0.986538632791711,0,0,0,1,55.5402287773785,45.9284801020749,6.59546607716447,70473.1750363327,1190996.65811402,1,13,13,0.461538461538462,6,6,less,7,0.5,1
27,912.229689067202,691.430290872618,1488.5,0.826402616729954,1937,1076.01705115346,378,2.91578428253754,0.523457838545276,0.26715600915439,1.04691567709055,0.66648722003744,2.77204718065056,36.2117568009651,21.1585262027499,4.18089727699884,8.76003585555882,997,0.695963563837626,253.967020892348,43.8064192577733,438.064192577733,1185.89859578736,898.859378134403,47.0752838412547,27.5060840635749,5.43516646009849,11.3880466122265,2515.565,1684.93,912,691,0.997401140224846,1937,998.448303078137,109,1267,-0.560288196488995,335.357981567206,0,0,44,-0.321253092371099,-0.946993374127827,0,-0.946993374127827,0.321253092371099,0,0,0,1,34.871851355787,11.5404024806805,3.01679649937039,5085.46400831278,85944.341740486,42,48,7,1,48,7,full,0,0.5,1
28,111.810850439883,703.458944281525,726,-0.294511668223667,3051,1731.98826979472,415,1.22983581967729,0.671835986267166,0.692015578213353,1.34367197253433,0.855408145291506,2.89110020859191,17.6169136925796,14.3567462437854,11.77662860861,1.27740225226843,682,0.197393779394019,504.3803978797,44.0058651026393,440.058651026393,145.354105571848,914.496627565983,22.9019878003535,18.6637701169211,15.309617191193,1.66062292794896,1226.94,1152.58,112,703,-0.324115839956912,3051,1754.5795620438,689,685,0.317989889486246,479.94210316318,0,0,44,-0.99774899385338,0.0670592668060785,0,0.0670592668060785,0.99774899385338,0,0,0,1,15.9510456479042,13.8166961950108,1.93490321978948,1786.24580889904,30187.5541703939,43,47,5,1,47,5,full,0,0.5,1
29,388.570194384449,735.939524838013,664.5,-1.49724044351336,6918,3264.10799136069,103,3.10293272854106,0.510920650893664,0.366722898310678,1.02184130178733,0.650524376939641,3.19822675999902,23.9986572957739,12.9122129008293,4.74294760671041,4.08814252171805,463,-0.0825695948671065,2196.55684742818,10.4341252699784,104.341252699784,505.141252699784,956.721382289417,31.198254484506,16.7858767710781,6.16583188872353,5.31458527823346,1123.005,782.47,389,736,-1.43688543810782,6918,2862.18494271686,122,611,0.228296946332256,2167.77017417327,0,0,10,-0.725285009229052,0.688448731124994,0,0.688448731124994,0.725285009229052,0,0,0,1,17.980591957477,10.7890053192394,1.87002382298656,1519.57150554963,25680.7584437887,9,13,5,1,13,5,full,0,0.5,1
30,640.14313519988,817.258721365474,7197,0.0557791360569979,13594,6259.78769276838,1784,1.77006447677751,0.734925176056338,0.8434801546604,1.46985035211268,0.935735796576381,3.81547570380526,57.6113792766439,44.6107907389201,27.6141499437302,6.55389232118661,6679,0.473705449396676,1864.07234206676,39.4877975744872,394.877975744872,832.186075759844,1062.43633777512,74.894793059637,57.9940279605961,35.8983949268493,8.52006001754259,12162.93,11287.51,640,817,0.147260970735066,13594,6153.86573058359,676,6837,0.384354646657652,1901.62497474628,2,2,41,-0.801491204465387,0.598006562810663,0,0.598006562810663,0.801491204465387,0,0,0,1,47.2144015801196,46.1128494971735,6.06627132002406,55323.1486374979,934961.211973715,36,48,13,0.538461538461538,42,7,half,2,0.5,1
31,981.141954302382,810.586776859504,2211,1.72420808380205,9249,3253.76276130287,824,1.40091989886442,0.781306609010694,0.863313386591826,1.56261321802139,0.99479047115535,3.24734614927562,30.5818572301765,25.0695404550921,17.8610967685096,2.35187938479041,2057,1.20394710240525,1409.85233142133,18.4817695673311,184.817695673311,1275.4845405931,1053.76280991736,39.7564143992294,32.5904025916197,23.2194257990625,3.05744320022754,3736.59,3476.33,981,811,1.78334762688605,9249,3254.97691197691,937,2079,1.24017187483848,1405.61053338229,1,1,19,-0.685990315129916,-0.727610670309306,0,-0.727610670309306,0.685990315129916,0,0,0,1,26.8520587974798,24.7671139286691,3.35524622719968,9346.86558785138,157962.028434688,17,23,7,0.857142857142857,22,6,half,1,0.5,1
32,815.700315457413,828.511041009464,1130.5,-0.841333520177868,5379,2685.37539432177,963,1.8635575440338,0.690255036853875,0.559161463537585,1.38051007370775,0.878860008874981,3.20137634174727,24.4517880550365,17.1277951475383,5.32754096292231,4.95771890446097,951,0.391668382066339,984.977909976306,35.1009463722397,351.009463722397,1060.41041009464,1077.0643533123,31.7873244715475,22.2661336917998,6.92580325179901,6.44503457579926,1910.545,1607.19,816,829,-0.786970458564723,5379,2550.95381715363,312,1061,0.285404230491937,1053.61782782488,1,2,35,0.245433404775486,-0.969413453496656,0,-0.969413453496656,-0.245433404775486,0,0,0,1,24.4874184557748,13.7721156716554,2.48686971828297,3513.05790213717,59370.6785461183,34,38,5,1,38,5,full,1,0.5,1
33,853.790513833992,818.296442687747,274.5,1.04328435640198,8537,2516.47826086957,386,1.17990668445283,0.764758179231862,0.948096136064044,1.52951635846372,0.973720355957668,3.04341734736986,10.0221407785525,8.49472291281368,6.29051496400706,0.879822443331899,253,1.42249377189929,2029.21371425896,18.6205533596838,186.205533596838,1109.92766798419,1063.78537549407,13.0287830121182,11.0431397866578,8.17766945320917,1.14376917633147,463.905,427.57,854,818,0.594782428341213,8537,2656.21621621622,574,259,1.32742521298865,2107.63645855765,0,0,19,-0.754771867619446,-0.655987368666695,0,-0.655987368666695,0.754771867619446,0,0,0,1,9.31107872893315,8.86716213854672,1.18158565638619,408.637734777883,6905.97771774622,19,21,3,1,21,3,full,0,0.5,1
34,153.169287318767,871.359403716561,5111.5,0.232427751788937,19064,8238.3534817235,2179,1.27871584177767,0.775087052864831,0.910958295064372,1.55017410572966,0.986871486319736,3.31582421042887,43.7547480813124,39.0513221499015,31.2947815961892,2.70919469630905,4897,0.641753049745406,2759.0502968722,22.4380232795589,224.380232795589,199.120073514397,1132.76722483153,56.8811725057061,50.7667187948719,40.6832160750459,3.52195310520177,8638.435,8275.93,153,871,0.244750744333869,19064,8190.7704154002,1525,4935,0.615810807327941,2755.22879838155,2,4,24,-0.789753086881869,-0.613424862359327,0,-0.613424862359327,0.789753086881869,0,0,0,1,41.642130907001,37.6681175146739,5.15516614740887,33871.7892004826,572433.237488156,20,30,11,0.636363636363636,26,7,half,4,0.5,1
